State,Category,Spending
New South Wales,Holiday,14697
New South Wales,Visiting friends and relatives,6002
New South Wales,Business,5598
New South Wales,Other purpose,1284
Victoria,Holiday,11415
Victoria,Visiting friends and relatives,3980
Victoria,Business,3565
Victoria,Other purpose,757
Queensland,Holiday,14847
Queensland,Visiting friends and relatives,4538
Queensland,Business,5206
Queensland,Other purpose,1056
South Australia,Holiday,2823
South Australia,Visiting friends and relatives,1315
South Australia,Business,1357
South Australia,Other purpose,325
Western Australia,Holiday,4642
Western Australia,Visiting friends and relatives,1579
Western Australia,Business,3787
Western Australia,Other purpose,594
Tasmania,Holiday,2433
Tasmania,Visiting friends and relatives,514
Tasmania,Business,510
Tasmania,Other purpose,83
Northern Territory,Holiday,1337
Northern Territory,Visiting friends and relatives,0
Northern Territory,Business,687
Northern Territory,Other purpose,0
Australian Capital Territory,Holiday,697
Australian Capital Territory,Visiting friends and relatives,723
Australian Capital Territory,Business,846
Australian Capital Territory,Other purpose,97
